front,back,tag
"What is the core focus of CALM Module 1?","Building informed personal choices that protect wellbeing and future options.","foundation"
"What makes a goal specific?","It states exactly what will be done and by whom.","goals"
"What makes a goal measurable?","You can verify progress with clear evidence or metrics.","goals"
"What does attainable mean in goal design?","The goal is mostly within your control.","goals"
"What does timed mean in goal design?","The goal includes a clear deadline or milestone.","goals"
"Name one signal of a healthy relationship.","Mutual respect and honest communication.","relationships"
"Name one warning sign of an unhealthy relationship.","Control, intimidation, or repeated boundary violations.","relationships"
"Why is consent central in relationships?","Because all physical and emotional boundaries require mutual agreement.","relationships"
"What is one safe refusal strategy for substances?","Say no clearly, change context, and move away from pressure.","substance-awareness"
"Why can occasional nicotine use become a bigger problem?","Tolerance and dependence can develop over time.","substance-awareness"
"What is a healthy risk?","A planned challenge with growth value and safety controls.","risk"
"What is an unhealthy risk?","A low-upside choice with high potential harm.","risk"
"What are the stages in the addiction continuum?","No use, use, misuse, abuse, dependency.","addictions"
"What often marks dependency?","Loss of control, cravings, and continued use despite consequences.","addictions"
"What is one common warning sign of depression in teens?","Persistent sadness, irritability, or loss of interest.","mental-health"
"What is one protective habit for mental wellness?","Stay connected to supportive people and ask for help early.","mental-health"
"If a friend talks about self-harm, what should you do?","Treat it as urgent and involve a trusted adult immediately.","mental-health"
"What is the purpose of the Life Map summative option?","To reflect on life events, transitions, and personal growth strategies.","summative"
"What is the purpose of the Inside Out film study option?","To analyze emotions and their effect on decisions and identity.","summative"
"Why does self-awareness improve decision-making?","It helps you predict triggers, manage habits, and choose intentional actions.","self-management"
